business_id,business_name,plan_tier,seats,mrr,signup_date,renewal_date,is_power_user_seed
BUS-000000,Umbra Logistics,Mid,3,81.91,2024-12-19,2026-12-19,False
BUS-000001,Acme Retail,Mid,3,32.09,2025-02-11,2027-02-11,False
BUS-000002,Cedar Labs,Mid,14,68.15,2025-02-07,2027-02-07,False
BUS-000003,Stellar Media,Mid,5,78.87,2024-06-07,2026-06-07,False
BUS-000004,Pioneer Auto,Free,2,0.0,2025-10-18,2026-10-18,False
BUS-000005,Apex Logistics,Mid,15,33.04,2023-10-07,2026-10-06,False
BUS-000006,Initech Trading,Mid,16,74.0,2024-04-24,2027-04-24,False
BUS-000007,Umbra Supply,Mid,15,50.26,2025-11-22,2026-11-22,False
BUS-000008,Vertex Auto,Free,3,0.0,2024-04-17,2027-04-17,False
BUS-000009,Initech Consulting,Free,3,0.0,2024-11-04,2026-11-04,False
BUS-000010,Iron Supply,Free,1,0.0,2025-06-04,2026-06-04,False
BUS-000011,Harbor Trading,Free,3,0.0,2025-02-09,2027-02-09,False
BUS-000012,Apex Builders,Free,1,0.0,2024-07-27,2026-07-27,False
BUS-000013,Stellar Partners,Free,3,0.0,2024-07-29,2026-07-29,False
BUS-000014,Nova Builders,Free,3,0.0,2023-10-08,2026-10-07,False
BUS-000015,Bright Supply,Free,3,0.0,2024-11-12,2026-11-12,False
BUS-000016,Cobalt Logistics,Free,1,0.0,2023-06-26,2026-06-25,False
BUS-000017,Bright Logistics,Mid,16,37.68,2025-06-11,2026-06-11,False
BUS-000018,Cedar Labs,Free,3,0.0,2023-09-19,2026-09-18,False
BUS-000019,Harbor Bakery,Mid,4,77.72,2024-11-04,2026-11-04,False
BUS-000020,Acme Builders,Free,1,0.0,2023-10-18,2026-10-17,False
BUS-000021,Summit Retail,Premium,32,454.61,2025-09-29,2026-09-29,False
BUS-000022,Harbor Partners,Free,1,0.0,2026-05-03,2027-05-03,False
