business_id,txn_month,invoice_count,payroll_runs,revenue
BUS-000000,2026-01-01,24,1,14733.97
BUS-000000,2026-02-01,24,2,15010.7
BUS-000000,2026-03-01,25,1,9446.88
BUS-000000,2026-04-01,19,2,11065.47
BUS-000000,2026-05-01,23,3,12487.08
BUS-000000,2026-06-01,19,3,11690.0
BUS-000001,2026-01-01,22,2,14138.96
BUS-000001,2026-02-01,30,3,11986.57
BUS-000001,2026-03-01,28,1,17950.31
BUS-000001,2026-04-01,32,2,13068.75
BUS-000001,2026-05-01,26,2,11191.2
BUS-000001,2026-06-01,27,3,15770.01
BUS-000002,2026-01-01,36,3,17919.93
BUS-000002,2026-02-01,33,3,21194.21
BUS-000002,2026-03-01,24,3,17958.38
BUS-000002,2026-04-01,23,2,10020.72
BUS-000002,2026-05-01,28,1,9814.44
BUS-000002,2026-06-01,41,2,15709.43
BUS-000003,2026-01-01,23,1,11802.9
BUS-000003,2026-02-01,28,2,15981.67
BUS-000003,2026-03-01,23,1,15624.96
BUS-000003,2026-04-01,26,3,17454.02
BUS-000003,2026-05-01,25,2,16570.97
BUS-000003,2026-06-01,24,1,10644.84
BUS-000004,2026-01-01,6,0,2764.24
BUS-000004,2026-02-01,4,0,1696.92
BUS-000004,2026-03-01,7,0,2071.01
BUS-000004,2026-04-01,7,0,1678.26
BUS-000004,2026-05-01,4,0,1808.9
BUS-000004,2026-06-01,5,0,2169.61
BUS-000005,2026-01-01,36,1,17619.64
BUS-000005,2026-02-01,25,1,21803.97
BUS-000005,2026-03-01,36,1,19874.15
BUS-000005,2026-04-01,27,1,19978.25
BUS-000005,2026-05-01,34,1,17568.18
BUS-000005,2026-06-01,40,1,13255.03
BUS-000006,2026-01-01,36,3,19446.01
BUS-000006,2026-02-01,24,2,16541.19
BUS-000006,2026-03-01,42,2,19043.81
BUS-000006,2026-04-01,31,2,19093.7
BUS-000006,2026-05-01,26,2,21497.6
BUS-000006,2026-06-01,32,2,16364.02
BUS-000007,2026-01-01,30,2,20039.77
BUS-000007,2026-02-01,28,3,17573.38
BUS-000007,2026-03-01,32,2,11040.89
BUS-000007,2026-04-01,27,3,11622.5
BUS-000007,2026-05-01,31,2,17949.18
BUS-000007,2026-06-01,25,1,21088.38
BUS-000008,2026-01-01,4,0,2344.55
BUS-000008,2026-02-01,7,0,2165.83
BUS-000008,2026-03-01,4,0,2231.71
BUS-000008,2026-04-01,4,0,2574.35
BUS-000008,2026-05-01,6,0,2433.02
BUS-000008,2026-06-01,5,0,2361.25
BUS-000009,2026-01-01,4,0,1788.62
BUS-000009,2026-02-01,4,0,2950.34
BUS-000009,2026-03-01,5,0,3000.84
BUS-000009,2026-04-01,7,0,1894.09
BUS-000009,2026-05-01,4,0,2376.55
BUS-000009,2026-06-01,7,0,2408.31
BUS-000010,2026-01-01,4,0,2406.0
BUS-000010,2026-02-01,5,0,1813.9
BUS-000010,2026-03-01,4,0,1937.01
